"cif";"customer_name";"age_group";"income_bracket";"region";"account_type";"risk_profile";"preferences";"created_at";"updated_at"
100103;Chelsea Smith;"65+";"25k-50k";Jakarta;Basic;Medium;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2025-01-02 22:07:35.805;2025-07-09 10:22:53.226
100270;Michael Anderson;"18-25";"150k+";Bandung;Basic;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2023-08-05 22:27:17.814;2025-07-05 14:04:57.016
100392;Vicki Garcia;"56-65";"50k-75k";Surabaya;Basic;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""conservative""}";2024-08-15 18:48:37.854;2025-08-04 00:17:10.839
100400;Elizabeth Jones;"65+";"50k-75k";Semarang;Basic;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2025-01-24 17:46:23.692;2025-07-16 02:03:04.240
100409;Eric King;"46-55";"50k-75k";Semarang;Platinum;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""conservative""}";2023-10-06 01:31:30.639;2025-07-19 19:03:10.970
100410;Aaron Sullivan;"36-45";"25k-50k";Jakarta;Basic;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""conservative""}";2023-11-21 15:45:23.492;2025-07-16 06:04:54.130
100415;Mrs Rebecca Gibson;"46-55";<25k;Jakarta;Basic;Medium;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2024-05-28 22:22:50.025;2025-07-05 19:20:56.890
100505;Joseph Harvey-Morris;"65+";"25k-50k";Surabaya;Platinum;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2025-01-07 19:53:23.010;2025-07-13 18:24:09.886
100516;James Holmes;"18-25";"75k-100k";Palembang;Gold;High;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2023-10-04 13:29:43.559;2025-07-17 02:26:49.435
100541;Michael Anderson;"36-45";"150k+";Bandung;Platinum;Medium;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2025-01-29 17:23:21.651;2025-07-16 16:29:37.508
100550;Shane Parker;"65+";"75k-100k";Jakarta;Basic;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""conservative""}";2023-08-05 11:37:02.927;2025-07-24 17:32:53.182
100555;Miss Janice Gray;"46-55";"50k-75k";Denpasar;Gold;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2024-03-24 08:52:53.030;2025-07-28 07:23:31.201
100567;Joseph Bell DVM;"46-55";<25k;Makassar;Premium;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2024-08-02 02:35:44.091;2025-07-21 12:44:13.066
100582;Craig Sanders;"56-65";"25k-50k";Bandung;Platinum;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2025-05-27 21:15:14.583;2025-07-24 00:35:15.608
100652;Aditya Riyanti, S.Sos;"65+";<25k;Denpasar;Premium;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""moderate""}";2024-09-30 21:21:10.521;2025-07-06 14:54:34.272
100658;Christopher Scott;"65+";<25k;Makassar;Premium;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2024-11-11 21:10:21.071;2025-07-18 13:19:25.959
100693;Puput Astuti;"46-55";"100k-150k";Denpasar;Gold;Low;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""conservative""}";2024-06-28 06:12:04.636;2025-07-29 18:41:28.032
100728;Lorraine Moore-Atkinson;"36-45";"75k-100k";Makassar;Basic;Medium;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""conservative""}";2025-05-13 04:08:31.320;2025-08-01 03:02:53.083
100753;Joseph Black;"36-45";"75k-100k";Palembang;Premium;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2024-09-06 22:03:23.586;2025-07-14 01:23:54.928
100783;Steven Spencer;"65+";"25k-50k";Surabaya;Premium;Medium;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2024-11-08 19:11:33.785;2025-07-30 18:52:02.794
100879;R.A. Yulia Rajasa;"56-65";"25k-50k";Semarang;Platinum;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2025-06-07 15:47:27.063;2025-07-23 10:04:44.863
100909;dr. Bahuraksa Maryadi, S.Farm;"46-55";<25k;Bandung;Premium;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""moderate""}";2025-05-15 21:16:48.413;2025-07-17 22:11:04.695
100972;Cakrabuana Pratama;"18-25";"25k-50k";Medan;Basic;Low;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""moderate""}";2023-11-02 21:17:23.632;2025-07-27 22:14:56.138
101021;Ronald Sullivan;"65+";"50k-75k";Jakarta;Premium;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2024-09-13 22:03:06.223;2025-07-24 13:03:47.261
101029;Hilary Johnson;"18-25";"100k-150k";Palembang;Business;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""conservative""}";2023-08-24 11:00:21.567;2025-07-19 07:32:59.547
101057;Eli Waluyo;"36-45";"25k-50k";Denpasar;Premium;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""moderate""}";2024-03-09 05:15:37.197;2025-07-21 06:31:09.234
101185;Ashley Brown;"18-25";"100k-150k";Jakarta;Gold;Medium;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""conservative""}";2025-02-04 22:32:34.989;2025-07-28 03:12:35.163
101187;Najwa Tarihoran;"36-45";"75k-100k";Makassar;Gold;High;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2024-04-12 10:38:06.662;2025-07-15 20:59:45.782
101209;Lewis Davies-Joyce;"65+";"25k-50k";Jakarta;Basic;Medium;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2025-07-10 22:51:00.797;2025-07-26 18:39:06.827
101284;Yolanda Leon;"56-65";"75k-100k";Bandung;Gold;Medium;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""moderate""}";2024-08-07 09:46:53.452;2025-07-20 16:16:56.725
101358;Patricia Anggriawan;"36-45";"100k-150k";Jakarta;Platinum;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""conservative""}";2025-05-09 05:47:57.077;2025-07-13 15:33:39.524
100286;Max Tucker;"65+";"100k-150k";Surabaya;Basic;Medium;"{""language"": ""id"", ""notifications"": false, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2024-10-04 15:21:07.488;2025-07-26 03:30:42.852
100309;Tantri Dongoran;"36-45";"150k+";Jakarta;Basic;Low;"{""language"": ""en"", ""notifications"": false, ""preferred_channel"": ""mobile"", ""investment_interest"": ""aggressive""}";2024-02-16 19:51:14.004;2025-07-15 20:35:07.066
100319;Mr. Matthew Dawson;"46-55";"150k+";Medan;Gold;Medium;"{""language"": ""id"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""moderate""}";2025-04-27 10:48:37.469;2025-07-19 23:53:37.050
100382;Karl Taylor;"65+";"75k-100k";Makassar;Basic;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""web"", ""investment_interest"": ""aggressive""}";2024-12-18 17:51:22.203;2025-07-26 03:42:21.332
100429;Ms Eileen Shepherd;"36-45";"25k-50k";Makassar;Premium;Medium;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""conservative""}";2024-03-24 03:31:11.693;2025-07-21 03:09:41.450
100484;Louise Weston;"18-25";"25k-50k";Jakarta;Business;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""conservative""}";2023-08-10 15:33:23.327;2025-07-07 22:00:15.907
100490;Paulin Siregar;"46-55";"100k-150k";Semarang;Platinum;Low;"{""language"": ""en"", ""notifications"": true, ""preferred_channel"": ""branch"", ""investment_interest"": ""moderate""}";2025-06-28 18:46:16.127;2025-07-19 15:55:53.675
